name,brand,timeSpy,launchPrice,currentPrice
RTX3090ti,Nvidia,21500,14999,12000
RTX3090,Nvidia,20000,11999,9000
RTX3080ti,Nvidia,19600,8999,8000
RTX3080,Nvidia,17700,5499,5500
RTX3070ti,Nvidia,14800,4499,4700
RTX3070,Nvidia,13700,3899,4000
RTX3060ti,Nvidia,11800,2999,3500
RTX3060,Nvidia,9000,2499,2800
RTX3050,Nvidia,6400,1999,2000
RTX2060,Nvidia,7800,2000,2000
RX6950xt,AMD,21000,8799,8000
RX6900xt,AMD,20100,7999,5300
RX6800xt,AMD,18800,5099,4200
RX6800,AMD,15500,4599,3800
RX6750xt,AMD,12600,4199,4000
RX6700xt,AMD,12100,3799,3200
RX6650xt,AMD,10000,3199,3000
RX6600xt,AMD,9500,2999,2400
